"가정별","성별","연령별",2017,2018,2019,2020,2021,2022
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","계",51361911,51585058,51764822,51836239,51769539,51672569
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","0 - 4세",2151219,2038736,1930344,1776616,1618830,1494041
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","5 - 9세",2308987,2288927,2276175,2278285,2231797,2142084
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","10 - 14세",2264077,2267391,2241561,2250969,2297714,2311839
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","15 - 19세",2982455,2820005,2685976,2518218,2345886,2287873
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","20 - 24세",3529657,3498197,3439052,3392351,3278327,3105237
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","25 - 29세",3368161,3493062,3587776,3645542,3675202,3628784
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","30 - 34세",3491542,3360617,3306462,3307803,3306451,3390434
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","35 - 39세",4054300,4095610,4051769,3866979,3683026,3482511
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","40 - 44세",4078404,3951400,3847859,3872171,3944406,4035019
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","45 - 49세",4506942,4553179,4487622,4385732,4213912,4061992
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","50 - 54세",4163840,4122273,4297890,4338269,4425748,4489552
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","55 - 59세",4225899,4340508,4295393,4237067,4113626,4113957
